fid,id,ref_no,name,pointx_class,groupname,categoryname,classname,feature_easting,feature_northing,pos_accuracy,uprn,topo_toid,topo_toid_version,usrn,usrn_mi,distance,address_detail,street_name,locality,geographic_county,postcode,admin_boundary,telephone_number,provenance,supply_date,Latitude,Longitude
10927,10927,19938264,Twickenham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,516191,173423,1,1.00023E+11,osgb1000003171876,5,22403635,1,36,Twickenham Police Station 41,London Road,Twickenham,Greater London,TW1 3SY,Richmond upon Thames London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.329356541,51.44788339
10928,10928,19938266,Stratford Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,539076,184153,1,10008993520,osgb1000006736154,4,22201662,1,19,Stratford Police Station 18,West Ham Lane,"Stratford, London",Greater London,E15 4SG,Newham London Boro,3001231212,London Metropolitan Police,2023/3/1,0.00399494,51.5391526
10929,10929,19938267,Southall Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,513072,180378,1,12039467,osgb1000002902789,3,20602250,1,30.3,Police Station 67,High Street,Southall,Greater London,UB1 3HG,Ealing London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.37199624,51.51102583
10930,10930,19938271,Plaistow Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,540583,182403,1,10009001584,osgb1000041850970,6,22208079,1,24.3,Plaistow Police Station 444,Barking Road,"Plaistow, London",Greater London,E13 8HJ,Newham London Boro,3001231212,London Metropolitan Police,2023/3/1,0.025011916,51.52305391
10931,10931,19938219,Worcester Park Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,522362,165966,1,5870003969,osgb1000041938494,3,22601354,1,21.9,Police Station 154,Central Road,Worcester Park,Greater London,KT4 8HH,Sutton London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.243167312,51.37956538
10932,10932,19938221,West Wickham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,538238,165937,1,1.00024E+11,osgb1000042353152,3,20301748,1,17.1,9,High Street,West Wickham,Greater London,BR4 0LP,Bromley London Boro,1689891212,London Metropolitan Police,2023/3/1,-0.015194553,51.37566548
10933,10933,19938223,West End Central Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,529081.9,180818.8,1,1.00023E+11,osgb1000042219387,4,8401550,1,15.1,"West End Central Police Station, 27",Savile Row,London,Greater London,W1S,City of Westminster London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.141249962,51.51156087
10934,10934,19938225,Wandsworth Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,525255,174679,1,121008802,osgb5000005112286528,1,22905902,1,90.1,Wandsworth Police Station 146,Wandsworth High Street,London,Greater London,SW18 4JJ,Wandsworth London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.19854395,51.45724161
10935,10935,19938230,Stoke Newington Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,533557.7,186086.4,1,1.00023E+11,osgb1000006052996,5,20900977,1,25.9,Stoke Newington Police Station 33,Stoke Newington High Street,"Hackney, London",Greater London,N16 8DR,Hackney London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.074793075,51.55785822
10936,10936,19938239,Plumstead Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,545609,178480,1,1.00023E+11,osgb1000007369063,5,20801187,1,17.6,Plumstead Police Station 200,Plumstead High Street,Plumstead,Greater London,SE18 1JY,Greenwich London Boro,3001231212,London Metropolitan Police,2023/3/1,0.095787706,51.48653106
10937,10937,19938241,Paddington Green Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,526970,181757,1,10033536229,osgb1000042173937,2,8400530,1,45,Paddington Green Police Station 4,Harrow Road,London,Greater London,W2 1XJ,City of Westminster London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.171329052,51.52047058
10938,10938,19938242,Notting Hill Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,524791.4,180387.8,1,217049679,osgb1000042121413,4,21700915,1,17.2,Notting Hill Police Station 101,Ladbroke Road,London,Greater London,W11 3PL,Kensington and Chelsea London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.203197846,51.50865033
10944,10944,19938290,Charing Cross Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,530240,180651,1,1.00023E+11,osgb1000005574326,6,8400736,1,13.2,Charing Cross Police Station,Agar Street,London,Greater London,WC2N 4HN,City of Westminster London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.12463258,51.50978739
10945,10945,19938292,Ilford Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,544310,186652,1,10034922099,osgb1000007196600,6,22306010,1,11.2,"Ilford Police Station, 270-294",High Road,Ilford,Greater London,IG1 1GT,Redbridge London Boro,3001231212,London Metropolitan Police,2023/3/1,0.080435676,51.560294
10946,10946,19938295,Mitcham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,527648.6,168329.9,1,48019012,osgb1000005110366,3,22101716,1,23.9,Police Station 58,Cricket Green,Mitcham,Greater London,CR4 4LA,Merton London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.166395584,51.39964699
10947,10947,19938296,Hayes Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,508662.7,181857.5,1,1.00023E+11,osgb1000042675024,5,21402032,1,15.4,Hayes Police Station 755,Uxbridge Road,Hayes,Greater London,UB4 8HU,Hillingdon London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.435054233,51.5251884
10948,10948,19938298,Colindale Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,521914.4,190137.6,1,200220576,osgb1000003745197,6,20018500,1,34.2,Colindale Police Station,Grahame Park Way,"Grahame Park, London",Greater London,NW9 5TW,Barnet London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.24125506,51.59690256
10949,10949,19938299,Hammersmith Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,523364,178793,1,34026612,osgb5000005277107283,2,21000727,1,28.7,Hammersmith Police Station 226,Shepherd's Bush Road,London,Greater London,W6 7NX,Hammersmith and Fulham London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.224312981,51.49463042
10950,10950,19938300,Barking Town Centre Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,544344,183974,1,10023592987,osgb1000001811289602,13,19910309,3,44.1,Barking Learning Centre 2,Town Square,London,Greater London,IG11 7NB,Barking and Dagenham London Boro,3001231212,London Metropolitan Police,2023/3/1,0.079828451,51.53622219
10951,10951,19938303,Chiswick Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,521022.8,178460.2,1,,osgb1000041506819,4,21500698,3,14.2,Chiswick Police Station 205-207,Chiswick High Road,London,Greater London,W4 2DU,Hounslow London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.258135632,51.49214474
10952,10952,19938306,Enfield Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,532917,196908,1,207182625,osgb1000005938545,4,20702494,1,38.1,Police Station 41,Baker Street,Enfield,Greater London,EN1 3EU,Enfield London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.079930723,51.65525607
10953,10953,19938313,Holborn Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,530710,181890,1,5029559,osgb1000005574844,3,20499045,1,28.3,Holborn Police Station 10,Lamb's Conduit Street,London,Greater London,WC1N 3NR,Camden London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.117404557,51.52081362
10954,10954,19938314,Holloway Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,530633,186485,1,5300050578,osgb1000005591422,9,21603387,1,12.5,Holloway Police Station 284,Hornsey Road,"Islington, London",Greater London,N7 7QY,Islington London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.116809335,51.56212543
10955,10955,19938315,Kilburn Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,524583,183285,1,202046411,osgb1000042130694,2,20201933,1,30,38,Salusbury Road,London,Greater London,NW6,Brent London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.205175225,51.53473402
10956,10956,19938324,Peckham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,534489,176826,1,2.00003E+11,osgb1000006163479,6,22501921,1,44,Peckham Police Station 177,Peckham High Street,London,Greater London,SE15 5SL,Southwark London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.064898003,51.47441938
10957,10957,19938328,Teddington Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,515851.6,170854.8,1,1.00023E+11,osgb1000003066960,6,22403720,1,25.5,Teddington Police Station 18,Park Road,Teddington,Greater London,TW11 0AQ,Richmond upon Thames London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.335078217,51.42487073
10958,10958,19938331,Walworth Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,532183,178415,1,2.00003E+11,osgb1000005886797,8,22501649,1,14,12月28日,Manor Place,London,Greater London,SE17 3BB,Southwark London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.097487649,51.48924241
10959,10959,19938337,Barnet Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,524740.5,196394,1,200221127,osgb1000042138568,4,20022440,1,18.5,26-32,High Street,Barnet,Greater London,EN5 5RU,Barnet London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.19824931,51.65250945
10960,10960,19938339,Brixton Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,531175,175679,1,1.00023E+11,osgb1000005713891,6,21900240,1,65.3,Brixton Police Station 367,Brixton Road,London,Greater London,SW9 7DD,Lambeth London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.113012506,51.46488917
10961,10961,19938341,Barkingside Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,544225,189760,1,1.00023E+11,osgb1000007206762,6,22302941,1,19.9,Police Station 1,High Street,"Barkingside, Ilford",Greater London,IG6 1QB,Redbridge London Boro,3001231212,London Metropolitan Police,2023/3/1,0.080485226,51.58824264
10962,10962,19938344,Sutton Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,526037.2,164014,1,5870047970,osgb1000004279056,4,22605669,1,19.4,Sutton Police Station 6,Carshalton Road,Sutton,Greater London,SM1 4RF,Sutton London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.191077339,51.36121907
10963,10963,19938345,Kennington Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,531183,179317,1,1.00023E+11,osgb1000005729741,4,21900793,1,24,Kennington Police Station 49-51,Kennington Road,London,Greater London,SE1 7QA,Lambeth London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.111547751,51.49758112
10964,10964,19938346,Kensington Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,525188.7,179138.4,1,217025973,osgb1000001795982463,2,21700166,1,27.3,Kensington Police Station 58-72,Earl's Court Road,London,Greater London,W8 6EQ,Kensington and Chelsea London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.197919193,51.49733392
10965,10965,19938348,Tottenham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,533808.9,189770.8,1,1.00023E+11,osgb1000006062773,6,21106680,1,405.5,"Tottenham Police Station, 398, High Road",Tottenham,London,Greater London,N17,Haringey London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.069770751,51.59090791
10966,10966,19938349,Edmonton Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,534316,193281,1,207180484,osgb1000006217445,5,20704226,1,23.6,Police Station 462,Fore Street,Edmonton,Greater London,N9 0PW,Enfield London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.061111668,51.62233057
10967,10967,19938365,Kingston Upon Thames Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,517849.1,169055.7,1,128008654,osgb1000003274449,3,21800505,1,17.5,Kingston Police Station 5-15,High Street,Kingston-upon-Thames,Greater London,KT1 1LB,Kingston upon Thames London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.306958942,51.40828948
10968,10968,19938366,Islington Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,531126,183350,1,5300092056,osgb1000005741443,6,21606148,1,26.9,Tolpuddle Street Police Station 2,Tolpuddle Street,"Islington, London",Greater London,N1 0YY,Islington London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.110868792,51.53383795
10969,10969,19938367,Hounslow Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,513709.7,175729.8,1,1.00023E+11,osgb1000002889110,4,21500771,1,30.5,Hounslow Police Station 5,Montague Road,Hounslow,Greater London,TW3 1LB,Hounslow London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.364306776,51.46911996
10970,10970,19938368,Romford Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,551567.5,189282.8,1,2.00003E+11,osgb1000000293854,4,21301383,1,62.4,Romford Police Station 19,Main Road,Romford,Greater London,RM1 3BJ,Havering London Boro,3001231212,London Metropolitan Police,2023/3/1,0.186185852,51.5820306
10971,10971,19938369,South Harrow Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,514556,186798,1,1.00023E+11,osgb1000003014914,5,21201245,1,13.9,Harrow Police Station 74,Northolt Road,Harrow,Greater London,HA2 0DN,Harrow London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.348533491,51.56842883
10972,10972,19938370,Shoreditch Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,532478.5,182823.8,1,1.00023E+11,osgb1000005893635,4,20900915,1,21.3,Shoreditch Police Station 4-6,Shepherdess Walk,"Hackney, London",Greater London,N1 7LF,Hackney London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.091578339,51.52879361
10973,10973,19938372,Ealing Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,517368,180587,1,12132981,osgb1000003297771,4,20602194,1,42,"Ealing Police Station, 67-69",Uxbridge Road,Ealing,Greater London,W5,Ealing London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.310048463,51.51202923
10974,10974,19938373,Croydon Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,532637,165258,1,1.00023E+11,osgb1000042283492,5,20502257,1,27.1,Croydon Police Station 71,Park Lane,Croydon,Greater London,CR9 1BP,Croydon London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.095874414,51.37089819
10975,10975,19938374,Bromley Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,540469,168636,1,10013149271,osgb1000001773962811,5,20300424,1,75.2,Bromley Police Station,High Street,Bromley,Greater London,BR1 1ER,Bromley London Boro,3001231212,London Metropolitan Police,2023/3/1,0.01790387,51.3993715
10976,10976,19938376,Dagenham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,550262,185135,1,100101412,osgb1000000217574,5,19900295,1,17.5,Dagenham Police Station 561,Rainham Road South,Dagenham,Greater London,RM10 7TU,Barking and Dagenham London Boro,3001231212,London Metropolitan Police,2023/3/1,0.165587675,51.54511126
10977,10977,19938351,Bexleyheath Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,549409,175309,1,1.00023E+11,osgb1000000141926,4,20100050,1,31.8,Bexleyheath Police Station 2,Arnsberg Way,Bexleyheath,Greater London,DA7 4QS,Bexley London Boro,3001231212,London Metropolitan Police,2023/3/1,0.149136653,51.45704856
10978,10978,19938353,Brick Lane Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,533904,181689,1,6001591,osgb1000006034713,2,22700191,1,14.1,Brick Lane Police Station 23-25,Brick Lane,London,Greater London,E1 6PU,Tower Hamlets London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.071471755,51.51825957
10979,10979,19938358,Acton Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,519824,180268,1,12008131,osgb5000005138038114,1,20602317,1,29.6,Acton Police Station 250,High Street,Acton,Greater London,W3 9BH,Ealing London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.27478149,51.50864746
10980,10980,19938359,Belgravia Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,528560,178585,1,1.00024E+11,osgb1000005284437,3,8400915,1,43.5,Belgravia Police Station 202-206,Buckingham Palace Road,London,Greater London,SW1W 9SX,City of Westminster London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.149580359,51.49160468
10981,10981,19938360,Chingford Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,538418,194467,1,1.00024E+11,osgb1000006658262,5,22848550,1,36.7,Police Station,Kings Head Hill,Chingford,Greater London,E4 7EA,Waltham Forest London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.001425008,51.63199383
10982,10982,19938361,Bethnal Green Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,535109,182818,1,6039113,osgb1000041687293,2,22701269,1,10,Bethnal Green Police Station 12,Victoria Park Square,London,Greater London,E2 9NZ,Tower Hamlets London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.05368223,51.52811813
10983,10983,19938362,Southwark Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,532250,179544,1,2.00003E+11,osgb1000005888304,5,22500284,1,15,Southwark Police Station 323,Borough High Street,London,Greater London,SE1 1JL,Southwark London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.096100385,51.49937273
10984,10984,19938363,Wimbledon Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,525010.4,170658.6,1,48084425,osgb1000041400088,11,22105247,1,17.3,Police Station 15-23,Queen's Road,"Wimbledon, London",Greater London,SW19 8NN,Merton London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.203480609,51.42116275
10985,10985,19938364,Catford Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,538115,172057,1,1.00023E+11,osgb1000041804829,4,22004516,1,36.6,"Catford Police Station, 333",Bromley Road,London,Greater London,SE6 2RP,Lewisham London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.014581447,51.43069075
10986,10986,19938384,Forest Gate Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,540899,185046,1,10008989555,osgb1000006845587,4,22201573,1,17.2,Forest Gate Police Station 350-360,Romford Road,"Forest Gate, London",Greater London,E7 8BS,Newham London Boro,3001231212,London Metropolitan Police,2023/3/1,0.030620148,51.54672483
10987,10987,19938385,Bishopsgate Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,533316,181615,1,1.00023E+11,osgb1000006035036,6,8100056,1,13.2,Bishopsgate Police Station 182,Bishopsgate,London,Greater London,EC2M 4NP,City and County of the City of London,2076012606,City of London Police,2023/3/1,-0.079969343,51.51773365
10988,10988,19938386,City of London Police Headquarters,6330422,Public Infrastructure,Central and Local Government,Police Stations,532363,181472,1,1.00024E+11,osgb1000005892643,7,8100582,1,11.5,Wood Street Police Station 37,Wood Street,London,Greater London,EC2P 2NQ,City and County of the City of London,2076012455,City of London Police,2023/3/1,-0.093750038,51.5166726
10989,10989,19938387,Snow Hill Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,531735,181498,1,1.00023E+11,osgb1000005732846,23,8100477,1,13.6,Snow Hill Police Station 5,Snow Hill,London,Greater London,EC1A 2DJ,City and County of the City of London,2076012406,City of London Police,2023/3/1,-0.102785863,51.51705297
10991,10991,19938273,Limehouse Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,537079,180911,1,6065812,osgb1000041797881,5,22701322,1,24.4,Limehouse Police Station 27-29,West India Dock Road,London,Greater London,E14 8EZ,Tower Hamlets London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.026042509,51.51050728
10992,10992,19938274,Lewisham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,538352,175689,1,10023229040,osgb1000001769493293,2,22004177,1,44.7,Lewisham Police Station 43,Lewisham High Street,"Hither Green, London",Greater London,SE13 5JZ,Lewisham London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.009756119,51.46327102
10993,10993,19938275,Kentish Town Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,528923,185051,1,5086094,osgb1000005304292,3,20400355,1,25.8,Kentish Town Police Station 12a,Holmes Road,London,Greater London,NW5 3AE,Camden London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.141989918,51.54963151
10994,10994,19938281,Fulham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,525109,177140.3,1,34168298,osgb5000005275998912,2,21000359,1,26.9,Fulham Police Station,Heckfield Place,London,Greater London,SW6,Hammersmith and Fulham London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.199774186,51.47939423
10995,10995,19938284,Eltham Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,542730.9,174532.7,1,10010199466,osgb1000042486097,5,20801573,1,43.7,Eltham Police Station,Well Hall Road,Eltham,Greater London,SE9 6SF,Greenwich London Boro,3001231212,London Metropolitan Police,2023/3/1,0.052770792,51.45179469
10996,10996,19938287,Deptford Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,536766,177467,1,10090783848,osgb1000001769520821,1,22000036,2,10.2,Deptford Police Station 116,Amersham Vale,London,Greater London,SE14 6LG,Lewisham London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.031884523,51.47963399
11122,11122,20798916,Wembley Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,517558,184987,1,202089197,osgb1000003309184,5,20202039,1,37.2,603,Harrow Road,Wembley,Greater London,HA0 2HH,Brent London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.305843665,51.55153544
11123,11123,21708623,Metropolitan Police Headquarters,6330422,Public Infrastructure,Central and Local Government,Police Stations,529684.1,179407,1,1.00023E+11,osgb5000005298036194,2,8400269,1,57.7,22,Victoria Street,London,Greater London,SW1H 0AT,City of Westminster London Boro,2072301212,London Metropolitan Police,2023/3/1,-0.13309575,51.49873545
11126,11126,108381755,Copperfield House Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,535402,170284,1,1.00024E+11,osgb1000041661409,5,20303532,2,14.9,"Charles Dickens Terrace, Maple Road",Penge,London,Greater London,SE20 8RE,Bromley London Boro,101,London Metropolitan Police,2023/3/1,-0.054260347,51.41541167
11130,11130,123994586,Berin Underwood House,6330422,Public Infrastructure,Central and Local Government,Police Stations,532336,166893,1,2.00001E+11,osgb5000005107846977,2,20501578,2,15.6,90,Windmill Road,Croydon,Greater London,CR0 2XR,Croydon London Boro,101,London Metropolitan Police,2023/3/1,-0.09958786,51.38566176
11131,11131,104082095,Fishmongers Arms Front Counter,6330422,Public Infrastructure,Central and Local Government,Police Stations,530848,190809,1,10003979776,osgb1000005603733,4,21104652,2,29.4,"Fishmongers Arms, 287",High Road,Wood Green,Greater London,N22,Haringey London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.112100628,51.60093308
11132,11132,104082103,Richmond Police Station,6330422,Public Infrastructure,Central and Local Government,Police Stations,518136,175279,1,10070711468,osgb1000003403751,3,22405449,3,13.2,18-20,Kew Road,Richmond,Greater London,TW9,Richmond upon Thames London Boro,3001231212,London Metropolitan Police,2023/3/1,-0.300760781,51.46416245
149545,149545,105205444,Metropolitan Police Service,6330422,Public Infrastructure,Central and Local Government,Police Stations,536968,189099,1,1.00023E+11,osgb1000006442608,4,22845050,1,16.2,Metropolitan Police Service 191-193,High Street,Walthamstow,Greater London,E17 7BX,Waltham Forest London Boro,2085093127,118 Information,2023/3/1,-0.024456491,51.58411264
150778,150778,105220845,Highgate Safer Neighbourhoods Base,6330422,Public Infrastructure,Central and Local Government,Police Stations,525166,185409,1,5065844,osgb1000004206050,6,20400121,1,20.5,West Hampstead Police Station 21,Fortune Green Road,London,Greater London,NW6 1DX,Camden London Boro,2087212699,118 Information,2023/3/1,-0.196019054,51.5536939
