Name,Latitude,Longitude,Type
Knightsbridge,51.4997777,-0.1615196,fire station
Lambeth,51.4925355,-0.1215369,fire station
Lambeth River,51.4925355,-0.1215369,fire station
Lee Green,51.4561255,0.012794,fire station
Lewisham,51.451638,-0.0168358,fire station
Leyton,51.5630084,-0.0158874,fire station
Leytonstone,51.560731,0.008567,fire station
Mill Hill,51.6150912,-0.2434717,fire station
Millwall,51.4980577,-0.0259217,fire station
Mitcham,51.4024687,-0.1704997,fire station
New Cross,51.4740452,-0.0474287,fire station
New Malden,51.399452,-0.2443295,fire station
Norbury,51.4071561,-0.1212236,fire station
North Kensington,51.5226354,-0.2130468,fire station
Northolt,51.5540601,-0.3601201,fire station
Old Kent Road,51.4856881,-0.0707808,fire station
Orpington,51.3700421,0.115663,fire station
Paddington,51.5207008,-0.181137,fire station
Park Royal,51.5364888,-0.2667526,fire station
Peckham,51.4738692,-0.0779786,fire station
Plaistow,51.5206827,0.0318764,fire station
Plumstead,51.4871665,0.0908779,fire station
Poplar,51.5108798,-0.0157058,fire station
Purley,51.3322052,-0.1244768,fire station
Richmond,51.4686848,-0.2786973,fire station
Romford,51.5919262,0.1820161,fire station
Ruislip,51.5823113,-0.4318809,fire station
Shadwell,51.5108113,-0.052626,fire station
Shoreditch,51.5260219,-0.0886877,fire station
Sidcup,51.427203,0.0938502,fire station
Silvertown,51.5023385,0.0261255,fire station
Soho,51.512988,-0.1296011,fire station
Southall,51.5110509,-0.374716,fire station
Southgate,51.6287664,-0.1276211,fire station
Southwark,51.5028261,-0.096466,fire station
Stanmore,51.6036342,-0.2976485,fire station
Stoke Newington,51.5621716,-0.0765412,fire station
Stratford,51.5433581,0.011352,fire station
Surbiton,51.392246,-0.2980157,fire station
Sutton,51.3698298,-0.2107315,fire station
Tooting,51.4381207,-0.1626161,fire station
Tottenham,51.5930371,-0.0741508,fire station
Twickenham,51.4356845,-0.3489168,fire station
Wallington,51.3622521,-0.1476364,fire station
Walthamstow,51.5896055,-0.0282657,fire station
Wandsworth,51.4563104,-0.2037278,fire station
Wembley,51.5517119,-0.3044898,fire station
Wennington,51.5111262,0.2063758,fire station
West Hampstead,51.5526101,-0.190027,fire station
West Norwood,51.4369114,-0.1050727,fire station
Westminster,51.4965762,-0.1348238,fire station
Whitechapel,51.5151377,-0.0690679,fire station
Willesden,51.5444316,-0.2365411,fire station
Wimbledon,51.4153003,-0.1970306,fire station
Woodford,51.6079511,0.0370549,fire station
Woodside,51.386001,-0.0626833,fire station
Woolwich,51.4921149,0.0576511,fire station
Beckenham,51.408,-0.022,hospatial
Beckenham Beacon,51.405,-0.033,hospatial
Bethlem Royal Hospital,51.3809,-0.0306,hospatial
Bloomsbury,51.5262,-0.1178,hospatial
Bromley,51.407,0.021,hospatial
Camberwell,51.4736,-0.0912,hospatial
Central Middlesex Hospital,51.519,-0.1377,hospatial
Charing Cross Hospital,51.4871,-0.2195,hospatial
"Chelsea, London",51.4875,-0.1684,hospatial
Chelsea and Westminster Hospital,51.484,-0.182,hospatial
Chipping Barnet,51.6444,-0.1997,hospatial
City of Westminster,51.51222222,-0.16333333,hospatial
Coppetts Wood Hospital,51.602,-0.1539,hospatial
Cromwell Hospital,51.4949,-0.1914,hospatial
Croydon University Hospital,51.39,-0.11,hospatial
Dartford,51.44,0.22,hospatial
Ealing Hospital,51.50694444,-0.34555556,hospatial
"Edmonton, London",51.6154,-0.0708,hospatial
